id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
1,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,...A HAND.,She lets the insect crawl up her arm.,0,She,lets,sit,fast ,short,Yes,Yes,insect,arm,,up,crawl,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,It wiggles into her workings.,1,It (insect),wiggles,go,fast ,short,No,Yes,she,workings/clothes,,,wiggle,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,It tickles her.,1,Insect,tickles,crawl,fast ,short,No,No,She,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,
2,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,"WALL-E
        Eee-vah! Ee
                EVE
        Eve.",The wind kicks up.,0,Wind,kicks up,fly,fast ,short,Yes,Yes,,,,up,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,The warning light sounds on Wall-E's chest.,1,warning light,sounds,call,fast ,short,No,No,Wall-E,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,Wall-E moves to grab her.,2,Wall-E,moves,go,fast ,short,Yes,Yes,her,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,
3,The cockroach watches his master go.,EXT. TOP OF HILL,The cockroach watches his master.,0,Cockroach,watches,look,neutral,neutral,No,No,master,,,,,,The cockroach watches his master go.,The master goes.,0,Master,goes,go,neutral,neutral,Yes,Yes,,,,away,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,
4,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",ON WALL-E'S POV DISPLAY,A paint-bot paints a wall sign.,0,Paint-bot,paints,paint,neutral,neutral,Yes,No,wall sign,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",A garbage-bot dumps trash into a chute.,1,garbage-bot,dumps,throw,neutral,neutral,Yes,No,chute,trash,,into,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...","Down the hall, Eve's transport glides up a ramp",2,transport,glides,fly,neutral,neutral,Yes,Yes,,ramp,hallway,up,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,
5,Her gaze falls on Wall-E. He waves politely.,"MARY
mesmerized
        Huh... ?",She gazes at Wall-E.,0,She,gazes,look,neutral,neutral,No,No,Wall-E,,,,,,Her gaze falls on Wall-E. He waves politely.,Wall-E waves politely to her.,1,Wall-E,waves,wave,fast ,short,Yes,No,Her.,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,
6,The Captain gives Auto the hand. Sips his coffee.,"AUTOPILOT
	Sir, the annual",The captain gives Auto the hand.,0,Captain,gives,give,fast ,short,Yes,No,Auto,hand,,,,,The Captain gives Auto the hand. Sips his coffee.,The Captain sips his coffee,0,Captain,sips,drink,neutral,short,Yes,No,coffee,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,
7,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,"CAPTAIN (ON INTERCOM)
unmotivated
	Well, good morning everybody, and welcome to day 255,642 aboard the Axiom. As always, weather's a balmy 72 degrees and sunny, and Oh, hey, I see the ship's log is showing that today is our 700th anniversary of our five year cruise. Well, I'm sure our forefathers would be proud to know that 700 years later we'd be...
deflates
	...doing the exact same thing...they were doing...",The passengers are listening,0,passengers,listening,lookAround,neutral,neutral,No,No,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,The passengers look bored,0,passengers,look,look,neutral,neutral,No,No,,,,,,bored,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,The captain looks bored.,1,Captain,looks,look,neutral,neutral,No,No,,,,,,bored,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,
8,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,"CAPTAIN (INTERCOM)
snaps out of ennui
	SO! Be sure next mealtime to ask for your free...
hard to pronounce
	...septuacentennial cupcake in a cup. Also today we have, uh...uh...Hey, Auto, what's that flashing button?
mic feedback whine
	
			BACK ON THE BRIDGE",The button is flashing,0,button,flashing,call,fast ,short,No,No,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,The captain stares at a button on the console.,0,captain,stares,look,fast ,short,No,No,button,,on the console.,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,The button has the same icon as Eve's display.,1,button,has,read,fast ,short,No,No,icon,,on the console,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,
9,The Captain looks at his VESTIGIAL LEGS.,"BUY N LARGE CEO
	Now, due to the effects of micro-gravity, you and your passengers may have suffered some slight bone loss. But I'm sure a few laps around your ship's jogging track will get you back in shape in no time.",The captain looks at his vestigial legs.,0,Captain,looks,lookDown,fast ,short,No,No,legs,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,
10,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,"WALL-E
swoons
	Ee-vah...
			ON THE CAPTAIN",He turns to the first page of instructions.,0,He,turns,turn,neutral,short,Yes,No,instructions,,first page,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,
