id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
1,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,...A HAND.,She lets,0,she,lets,,neutral,neutral,No,No,null,null,null,null,null,null,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,The insect crawls up her arm,0,insect,crawl,crawl,slow,long,Yes,Yes,arm,null,null,up,null,null,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,Wiggles into her workings,1,insect,wiggles,turn,,,Yes,Yes,workings,null,null,into,null,null,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,It tickles,2,,tickles,touch,neutral,neutral,No,No,null,null,null,null,null,null,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,,She lets the insect crawl up her arm. Wiggles into her workings. It tickles.,,,,,,,,,,,,,,,
2,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,"WALL-E
        Eee-vah! Ee
                EVE
        Eve.",The wind kicks up,1,wind,kicks up,goForward,fast ,short,Yes,No,null,null,null,up,null,null,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,THE WARNING Light sounds on Wall-E's chest,1,WARNING LIGHT,sounds,call,neutral,neutral,No,No,chest,null,Wall-E's chest,null,null,null,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,He moves to grab her,2,Wall-E,moves,goForward,neutral,neutral,Yes,Yes,Eve,null,null,to Eve,null,null,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,,The wind kicks up. The WARNING LIGHT sounds on Wall-E's chest. He moves to grab her.,,,,,,,,,,,,,,,
3,The cockroach watches his master go.,EXT. TOP OF HILL,The cockroach watches his master go,0,cockroach,watches,look,slow,long,No,No,master,null,null,null,null,null,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,,The cockroach watches his master go.,,,,,,,,,,,,,,,
4,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",ON WALL-E'S POV DISPLAY,a PAINT-BOT paints a wall sign,0,PAINT-BOT,paints,paint,neutral,neutral,Yes,No,wall sign,null,null,null,null,null,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",A GARBAGE-BOT dumps trash into a wall chute,1,GARBAGE-BOT,dumps,throw,neutral,neutral,Yes,No,wall chute,trash,null,into,null,null,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...","Down the hall, Eve's transport glides up a ramp",2,transport,glides,goForward,neutral,neutral,Yes,Yes,ramp,null,down the hall,up,null,null,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,,"...a PAINT-BOT paints a wall sign... ...A GARBAGE-BOT dumps trash into a wall chute... ...Down the hall, Eve's transport glides up a ramp...",,,,,,,,,,,,,,,
5,Her gaze falls on Wall-E. He waves politely.,"MARY
mesmerized
        Huh... ?",Her gaze falls on Wall-E,0,Mary,falls,fall,neutral,neutral,No,No,Wall-E,null,null,on,null,null,Her gaze falls on Wall-E. He waves politely.,He waves politely,1,Wall-E,waves,wave,neutral,neutral,Yes,No,null,null,null,null,politely,politely,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,,Her gaze falls on Wall-E. He waves politely.,,,,,,,,,,,,,,,
6,The Captain gives Auto the hand. Sips his coffee.,"AUTOPILOT
	Sir, the annual",The Captain gives Auto the hand,0,Captain,gives,give,neutral,neutral,Yes,No,Auto,hand,null,null,null,null,The Captain gives Auto the hand. Sips his coffee.,Sips his coffee,1,Captain,sips,drink,slow,long,Yes,No,null,coffee,null,null,null,null,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,,The Captain gives Auto the hand. Sips his coffee.,,,,,,,,,,,,,,,
7,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,"CAPTAIN (ON INTERCOM)
unmotivated
	Well, good morning everybody, and welcome to day 255,642 aboard the Axiom. As always, weather's a balmy 72 degrees and sunny, and Oh, hey, I see the ship's log is showing that today is our 700th anniversary of our five year cruise. Well, I'm sure our forefathers would be proud to know that 700 years later we'd be...
deflates
	...doing the exact same thing...they were doing...",Cut to VARIOUS ASPECTS OF AXIOM LIVING,1,,cut,cut,neutral,neutral,No,No,VARIOUS ASPECTS OF AXIOM LIVING,null,null,to,null,null,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,The listening passenger looks just as bored as the Captain,1,passenger,looks,look,neutral,neutral,No,No,Captain,null,null,null,bore,bored,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,,Cut to VARIOUS ASPECTS OF AXIOM LIVING. The listening passengers look just as bored as the Captain.,,,,,,,,,,,,,,,
8,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,"CAPTAIN (INTERCOM)
snaps out of ennui
	SO! Be sure next mealtime to ask for your free...
hard to pronounce
	...septuacentennial cupcake in a cup. Also today we have, uh...uh...Hey, Auto, what's that flashing button?
mic feedback whine
	
			BACK ON THE BRIDGE",The Captain stares at a FLASHING BUTTON on the console,0,Captain,stares,look,slow,long,No,No,FLASHING BUTTON,null,null,at a FLASHING BUTTON,null,null,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,It bears the same PLANT ICON as Eve's display,0,FLASHING BUTTON,bears,collect,neutral,neutral,No,No,Eve's display,PLANT ICON,null,null,null,null,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,,The Captain stares at a FLASHING BUTTON on the console. It bears the same PLANT ICON as Eve's display.,,,,,,,,,,,,,,,
9,The Captain looks at his VESTIGIAL LEGS.,"BUY N LARGE CEO
	Now, due to the effects of micro-gravity, you and your passengers may have suffered some slight bone loss. But I'm sure a few laps around your ship's jogging track will get you back in shape in no time.",The Captain looks at his VESTIGIAL LEGS,0,Captain,looks,look,neutral,neutral,No,No,VESTIGIAL LEGS,null,null,at his VESTIGIAL LEGS,null,null,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,,The Captain looks at his VESTIGIAL LEGS.,,,,,,,,,,,,,,,
10,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,"WALL-E
swoons
	Ee-vah...
			ON THE CAPTAIN",He turns to the FIRST PAGE OF INSTRUCTIONS,0,WALL-E,turns,turn,neutral,neutral,Yes,No,FIRST PAGE OF INSTRUCTIONS,null,null,to the FIRST PAGE OF INSTRUCTIONS,null,null,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,,He manages to turn to the FIRST PAGE OF INSTRUCTIONS.,,,,,,,,,,,,,,,
